name,lat,long
"Adams Hall",44.561402,-123.274645
"Agricultural and Life Sciences",44.566216,-123.281824
"Arnold Dining Center",44.560540,-123.277561
"Austin Hall",44.564978,-123.281653
"Ballard Extension Hall",44.567194,-123.279636
"Batcheller Hall",44.566987,-123.275168
"Bates Hall",44.567370,-123.280183
"Benton Hall",44.566315,-123.274196
"Bexell Hall",44.567087,-123.277286
"Burt Hall",44.568493,-123.280624
"Cascade Hall",44.561488,-123.275524
"Centro Cultural César Chávez",44.560544,-123.279248
"CH2M HILL Alumni Center",44.559772,-123.279153
"College of Earth, Ocean, and Atmospheric Science Administration Building",44.568539,-123.279766
"Cordley Hall",44.567022,-123.281606
"Covell Hall",44.567235,-123.274782
"Crop Science Building",44.566367,-123.285269
"Dearborn Hall",44.567251,-123.27557
"Dixon Rec Center",44.563078,-123.278820
"Dryden Hall",44.563114,-123.285096
"Energy Center",44.564156,-123.289038
"Environmental Computing Center",44.568273,-123.280587
"Fairbanks Hall",44.565161,-123.280419
"Forest Science Lab",44.564188,-123.287693
"Forestry Storage",44.563906,-123.285913
"Gilfillan Auditorium",44.568589,-123.280243
"Gilkey Hall",44.566354,-123.277232
"Gill Coliseum",44.561088,-123.280842
"Gilmore Hall",44.566495,-123.280576
"Gladys Valley Gymnastics Center",44.564962,-123.275172
"Gleeson Hall",44.567098,-123.276617
"Goss Stadium",44.563204,-123.277930
"Graf Hall",44.567649,-123.274772
"Hallie Ford Center",44.567080,-123.280451
"Heckart Lodge",44.564312,-123.283290
"Hinsdale Wave Research Lab",44.563801,-123.290922
"Hovland Hall",44.566392,-123.281272
"International Living-Learning Center",44.560345,-123.276106
"Joyce Collin Furman Hall",44.565062,-123.274239
"Kearney Hall",44.567037,-123.273184
"Kelley Engineering Center",44.567233,-123.278412
"Kerr Administration Building",44.563999,-123.274453
"Kidder Hall",44.566472,-123.275941
"Langton Hall",44.564114,-123.278262
"LaSells Stewart Center",44.559107,-123.278530
"Linus Pauling Science Center",44.566651,-123.283981
"Magruder Hall",44.560660,-123.285441
"Marketplace West Dining Center",44.563934,-123.283719
"McAlexander Fieldhouse",44.563686,-123.275344
"McNary Dining Center",44.564106,-123.272125
"Memorial Union",44.564871,-123.278799
"Merritt Truax Indoor Practice Facility",44.561253,-123.284040
"Merryfield Hall",44.567412,-123.274267
"Milam Hall",44.566464,-123.278913
"Milne Computer Center",44.566346,-123.275140
"Moreland Hall",44.564240,-123.279460
"Nash Hall",44.566067,-123.282614
"Native American Longhouse, Eena Haws",44.564083,-123.279519
"Oak Creek Center",44.559819,-123.288561
"Orchard Court Apartments",44.568654,-123.288691
"Oregon State University Foundation",44.557470,-123.290772
"OSU Basketball Center",44.561352,-123.281685
"OSU Foundation",44.557423,-123.290653
"Owen Hall",44.567030,-123.273570
"Peavy Hall",44.564244,-123.285493
"Pharmacy Building",44.565398,-123.274829
"Plageman Student Health Center",44.567756,-123.278591
"Pride Center",44.560955,-123.274779
"Radiation Center",44.565075,-123.289103
"Reed Lodge",44.564331,-123.283966
"Reser Stadium",44.558931,-123.281749
"Richardson Hall",44.563671,-123.285976
"Rogers Hall",44.567598,-123.275737
"Shepard Hall",44.567175,-123.275941
"Snell Hall",44.564010,-123.276177
"Strand Agriculture Hall",44.565692,-123.277282
"Student Legacy Park",44.562919,-123.282087
"Student Sustainability Center",44.560214,-123.27439
"The Valley Library",44.565306,-123.276074
"Valley Football Center",44.560322,-123.282571
"Waldo Hall",44.563934,-123.277207
"Weniger Hall",44.567664,-123.277507
"West Hall",44.563548,-123.283755
"Whyte Track and Field Center",44.557696,-123.275394
"Wilkinson Hall",44.568237,-123.280351
"Withycombe Hall",44.567003,-123.283315
"Women's Building",44.565929,-123.280522
"Women's Center",44.565818,-123.274707
